409,4,1,1,1,3,310,10,2,1,0,4.5844
409,4,1,1,2,7,300,10,1,2,0,2.2652
409,4,1,1,3,4,310,14,1,1,1,2.0542
409,4,1,1,4,5,330,16,2,2,1,2.1285
409,4,1,1,5,9,300,16,1,2,0,1.3375
409,4,1,1,6,8,300,14,NaN,2,9,NaN
409,4,1,1,7,6,310,16,2,2,1,1.3948
409,4,1,1,8,1,330,10,2,1,0,1.1609
409,4,1,1,9,2,330,14,2,1,0,2.2989
409,4,1,1,10,9,300,16,1,2,0,0.80616
409,4,1,1,11,6,310,16,1,2,0,1.6146
409,4,1,1,12,8,300,14,1,2,0,2.3271
409,4,1,1,13,7,300,10,2,2,1,3.8738
409,4,1,1,14,9,300,16,1,2,0,3.0301
409,4,1,1,15,2,330,14,2,1,0,1.056
409,4,1,1,16,2,330,14,1,1,1,2.5486
409,4,1,1,17,4,310,14,1,1,1,1.8821
409,4,1,1,18,2,330,14,1,1,1,2.2374
409,4,1,1,19,1,330,10,2,1,0,1.9303
409,4,1,1,20,4,310,14,2,1,0,2.9128
409,4,1,1,21,5,330,16,2,2,1,1.5452
409,4,1,1,22,3,310,10,1,1,1,1.7363
409,4,1,1,23,9,300,16,1,2,0,1.5574
409,4,1,1,24,3,310,10,1,1,1,2.1207
409,4,1,1,25,8,300,14,1,2,0,1.0583
409,4,1,1,26,1,330,10,1,1,1,2.1214
409,4,1,1,27,4,310,14,2,1,0,3.323
409,4,1,1,28,9,300,16,2,2,1,1.3937
409,4,1,1,29,7,300,10,1,2,0,2.0004
409,4,1,1,30,5,330,16,2,2,1,0.9598
409,4,1,1,31,4,310,14,1,1,1,1.4075
409,4,1,1,32,1,330,10,2,1,0,1.5607
409,4,1,1,33,3,310,10,1,1,1,1.0389
409,4,1,1,34,5,330,16,1,2,0,3.0712
409,4,1,1,35,6,310,16,2,2,1,3.5706
409,4,1,1,36,3,310,10,1,1,1,1.3578
409,4,1,1,37,5,330,16,2,2,1,0.83236
409,4,1,1,38,2,330,14,1,1,1,1.7659
409,4,1,1,39,8,300,14,2,2,1,1.986
409,4,1,1,40,8,300,14,2,2,1,0.80224
409,4,1,1,41,1,330,10,1,1,1,1.4868
409,4,1,1,42,7,300,10,1,2,0,1.0469
409,4,1,1,43,5,330,16,2,2,1,1.4242
409,4,1,1,44,3,310,10,1,1,1,1.6394
409,4,1,1,45,6,310,16,2,2,1,1.7211
409,4,1,1,46,4,310,14,1,1,1,3.2846
409,4,1,1,47,7,300,10,2,2,1,1.7316
409,4,1,1,48,7,300,10,2,2,1,1.455
409,4,1,1,49,6,310,16,1,2,0,1.2935
409,4,1,1,50,6,310,16,1,2,0,1.1563
409,4,1,1,51,8,300,14,2,2,1,1.0749
409,4,1,1,52,1,330,10,1,1,1,1.7312
409,4,1,1,53,2,330,14,1,1,1,3.0925
409,4,1,1,54,9,300,16,1,2,0,1.1749
409,4,1,1,1,1,330,10,2,1,0,1.3026
409,4,1,1,2,3,310,10,1,1,1,0.68072
409,4,1,1,3,2,330,14,2,1,0,1.6345
409,4,1,1,4,1,330,10,2,1,0,0.789
409,4,1,1,5,6,310,16,1,2,0,0.69603
409,4,1,1,6,5,330,16,1,2,0,1.6658
409,4,1,1,7,4,310,14,1,1,1,1.7825
409,4,1,1,8,8,300,14,1,2,0,1.0149
409,4,1,1,9,4,310,14,2,1,0,1.3172
409,4,1,1,10,7,300,10,1,2,0,3.7441
409,4,1,1,11,9,300,16,2,2,1,3.736
409,4,1,1,12,4,310,14,2,1,0,3.2602
409,4,1,1,13,9,300,16,2,2,1,2.8048
409,4,1,1,14,9,300,16,2,2,1,1.0371
409,4,1,1,15,7,300,10,2,2,1,2.7409
409,4,1,1,16,7,300,10,1,2,0,2.4541
409,4,1,1,17,3,310,10,1,1,1,3.8295
409,4,1,1,18,9,300,16,2,2,1,2.3074
409,4,1,1,19,1,330,10,1,1,1,1.2815
409,4,1,1,20,6,310,16,2,2,1,2.1745
409,4,1,1,21,6,310,16,2,2,1,2.1735
409,4,1,1,22,4,310,14,2,1,0,2.3514
409,4,1,1,23,5,330,16,2,2,1,1.9946
409,4,1,1,24,3,310,10,2,1,0,1.5192
409,4,1,1,25,3,310,10,1,1,1,4.4684
409,4,1,1,26,7,300,10,1,2,0,3.0481
409,4,1,1,27,1,330,10,2,1,0,1.8532
409,4,1,1,28,1,330,10,1,1,1,2.1632
409,4,1,1,29,2,330,14,2,1,0,1.6806
409,4,1,1,30,5,330,16,1,2,0,1.2906
409,4,1,1,31,2,330,14,1,1,1,2.7752
409,4,1,1,32,8,300,14,1,2,0,2.3556
409,4,1,1,33,4,310,14,NaN,1,9,NaN
409,4,1,1,34,5,330,16,2,2,1,1.2738
409,4,1,1,35,3,310,10,1,1,1,1.5101
409,4,1,1,36,5,330,16,1,2,0,2.576
409,4,1,1,37,7,300,10,1,2,0,3.5684
409,4,1,1,38,6,310,16,2,2,1,2.5561
409,4,1,1,39,2,330,14,1,1,1,2.1632
409,4,1,1,40,6,310,16,2,2,1,2.2731
409,4,1,1,41,9,300,16,1,2,0,3.1392
409,4,1,1,42,8,300,14,1,2,0,2.0607
409,4,1,1,43,2,330,14,1,1,1,1.1759
409,4,1,1,44,8,300,14,1,2,0,3.0304
409,4,1,1,45,8,300,14,1,2,0,3.0098
409,4,1,1,1,3,310,10,1,1,1,2.3311
409,4,1,1,2,6,310,16,2,2,1,1.6655
409,4,1,1,3,4,310,14,2,1,0,2.2836
409,4,1,1,4,5,330,16,2,2,1,3.3515
409,4,1,1,5,2,330,14,1,1,1,1.9804
409,4,1,1,6,8,300,14,1,2,0,2.6818
409,4,1,1,7,7,300,10,2,2,1,2.0248
409,4,1,1,8,2,330,14,2,1,0,2.1037
409,4,1,1,9,1,330,10,2,1,0,1.4711
409,4,1,1,10,8,300,14,1,2,0,3.4753
409,4,1,1,11,3,310,10,1,1,1,2.1231
409,4,1,1,12,8,300,14,2,2,1,1.9379
409,4,1,1,13,3,310,10,2,1,0,1.6228
409,4,1,1,14,5,330,16,2,2,1,1.0573
409,4,1,1,15,9,300,16,2,2,1,3.1248
409,4,1,1,16,1,330,10,1,1,1,1.664
409,4,1,1,17,1,330,10,1,1,1,3.1501
409,4,1,1,18,5,330,16,2,2,1,1.3369
409,4,1,1,19,6,310,16,2,2,1,1.8378
409,4,1,1,20,6,310,16,2,2,1,3.5172
